"id_item","est_dans_id_item","date_est_dans"
20231,30020,11-juil.-07
20232,30121,11-juil.-07
20233,30197,11-juil.-07
20234,30020,11-juil.-07
20235,30020,11-juil.-07
20236,30020,11-juil.-07
20237,30020,11-juil.-07
20238,30020,11-juil.-07
20239,30020,11-juil.-07
20240,30020,11-juil.-07
20241,30020,11-juil.-07
20242,30020,11-juil.-07
20243,30020,11-juil.-07
20244,30020,11-juil.-07
20245,30020,11-juil.-07
20246,30101,11-juil.-07
20247,30101,11-juil.-07
20248,30014,11-juil.-07
20249,30014,11-juil.-07
20250,30121,11-juil.-07
20251,30121,11-juil.-07
20252,30200,11-juil.-07
20253,30199,11-juil.-07
20254,30199,11-juil.-07
20255,30019,11-juil.-07
20256,30019,11-juil.-07
20257,30497,11-juil.-07
20258,30497,11-juil.-07
20259,30497,11-juil.-07
20260,30497,11-juil.-07
20261,30497,11-juil.-07
20262,30497,11-juil.-07
20263,30497,11-juil.-07
20264,30497,11-juil.-07
20265,30497,11-juil.-07
20266,30497,11-juil.-07
20267,30497,11-juil.-07
20268,30497,11-juil.-07
20270,30136,11-juil.-07
20271,30201,11-juil.-07
20272,30202,11-juil.-07
20273,30020,11-juil.-07
20274,30144,11-juil.-07
20275,30068,11-juil.-07
20276,30068,05-mars-08
20277,30054,11-juil.-07
20278,30007,11-juil.-07
20279,30007,11-juil.-07
20280,30007,11-juil.-07
20281,30007,11-juil.-07
20282,30007,11-juil.-07
20283,30007,11-juil.-07
20284,30007,11-juil.-07
20285,30007,11-juil.-07
20286,30007,11-juil.-07
20287,30148,11-juil.-07
20288,30276,05-mars-08
20289,30031,11-juil.-07
20290,30205,06-avr.-10
20291,30282,11-juil.-07
20292,30310,11-juil.-07
20293,30121,11-juil.-07
20294,30121,11-juil.-07
20295,30121,11-juil.-07
20296,30110,11-juil.-07
20297,30098,11-juil.-07
20298,30138,11-juil.-07
20299,30020,11-juil.-07
20300,30189,11-juil.-07
20301,30020,11-juil.-07
20302,30031,11-juil.-07
20303,30207,11-juil.-07
20304,30485,11-juil.-07
20305,30209,11-juil.-07
20306,30209,11-juil.-07
20307,30121,11-juil.-07
20308,30007,11-juil.-07
20309,30007,11-juil.-07
20310,30259,11-juil.-07
20311,30023,11-juil.-07
20312,30020,11-juil.-07
20313,30024,11-juil.-07
20314,30144,11-juil.-07
20315,30088,11-juil.-07
20316,30210,11-juil.-07
20317,30007,11-juil.-07
20318,30007,11-juil.-07
20319,30007,11-juil.-07
20320,30007,11-juil.-07
20321,30007,11-juil.-07
20322,30025,11-juil.-07
20323,30025,11-juil.-07
20324,30025,11-juil.-07
20325,30025,11-juil.-07
20326,30025,11-juil.-07
20327,30025,11-juil.-07
20328,30025,11-juil.-07
20329,30025,11-juil.-07
20330,30025,11-juil.-07
20331,30020,11-juil.-07
20332,30026,11-juil.-07
20333,30408,11-juil.-07
20334,30206,05-mars-08
20335,30410,11-juil.-07
20336,30410,11-juil.-07
20337,30410,11-juil.-07
20338,30507,11-juil.-07
20339,30027,11-juil.-07
20340,30213,11-juil.-07
20341,30212,11-juil.-07
20342,30212,11-juil.-07
20343,30141,05-nov.-07
20344,30284,11-juil.-07
20345,30284,01-déc.-09
20346,30284,11-juil.-07
20347,30284,11-juil.-07
20348,30161,11-juil.-07
20349,30161,11-juil.-07
20350,30215,11-juil.-07
20351,30084,11-juil.-07
20352,30069,11-juil.-07
20353,30362,11-juil.-07
20354,30095,11-juil.-07
20355,30193,11-juil.-07
20356,30193,11-juil.-07
20357,30193,11-juil.-07
20358,30216,11-juil.-07
20359,30030,11-juil.-07
20360,30017,11-juil.-07
20361,30468,11-juil.-07
20362,30218,11-juil.-07
20363,30033,11-juil.-07
20364,30507,11-juil.-07
20365,30447,11-juil.-07
20366,30106,11-juil.-07
20367,30121,11-juil.-07
20369,30031,11-juil.-07
20370,30031,11-juil.-07
20371,30031,14-déc.-09
20372,30031,11-juil.-07
20374,30031,11-juil.-07
20375,30031,11-juil.-07
20376,30031,11-juil.-07
20377,30031,11-juil.-07
20378,30031,11-juil.-07
20379,30031,11-juil.-07
20380,30031,11-juil.-07
20381,30031,11-juil.-07
20382,30031,11-juil.-07
20383,30031,14-déc.-09
20384,30031,11-juil.-07
20385,30031,11-juil.-07
20386,30121,11-juil.-07
20387,30121,11-juil.-07
20388,30121,11-juil.-07
20389,30121,11-juil.-07
20390,30101,11-juil.-07
20391,30246,11-juil.-07
20392,30054,11-juil.-07
20393,30274,11-juil.-07
20394,30254,11-juil.-07
20396,30257,11-juil.-07
20397,30410,11-juil.-07
20398,30160,11-juil.-07
20399,30148,11-juil.-07
20400,30390,11-juil.-07
20402,30486,11-juil.-07
20403,30053,11-juil.-07
20404,30218,11-juil.-07
20405,30219,11-juil.-07
20406,30121,11-juil.-07
20407,30145,11-juil.-07
20408,30020,11-juil.-07
20409,30034,11-juil.-07
20410,30432,11-juil.-07
20411,30068,11-juil.-07
20412,30068,11-juil.-07
20413,30121,11-juil.-07
20414,30145,11-juil.-07
20415,30020,11-juil.-07
20416,30416,11-juil.-07
20417,30222,11-juil.-07
20418,30222,11-juil.-07
20419,30222,11-juil.-07
20420,30222,11-juil.-07
20421,30105,11-juil.-07
20422,30020,11-juil.-07
20423,30054,11-juil.-07
20424,30054,11-juil.-07
20425,30054,11-juil.-07
20426,30064,11-juil.-07
20428,30054,11-juil.-07
20429,30349,11-juil.-07
20430,30050,11-juil.-07
20431,30155,11-juil.-07
20432,30155,11-juil.-07
20433,30224,11-juil.-07
20434,30036,11-juil.-07
20435,30301,11-juil.-07
20436,30026,11-juil.-07
20437,30010,11-juil.-07
20438,30033,11-juil.-07
20439,30033,11-juil.-07
20440,30068,11-juil.-07
20441,30068,11-juil.-07
20442,30225,11-juil.-07
20443,30492,11-juil.-07
20444,30492,11-juil.-07
20445,30492,11-juil.-07
20446,30492,11-juil.-07
20447,30492,11-juil.-07
20448,30226,11-juil.-07
20449,30038,11-juil.-07
20450,30037,11-juil.-07
20451,30227,11-juil.-07
20452,30441,11-juil.-07
20453,30031,11-juil.-07
20454,30218,11-juil.-07
20455,30218,11-juil.-07
20456,30238,11-juil.-07
20457,30148,11-juil.-07
20458,30148,11-juil.-07
20459,30148,11-juil.-07
20460,30148,11-juil.-07
20461,30148,11-juil.-07
20462,30148,11-juil.-07
20463,30401,11-juil.-07
20464,30031,11-juil.-07
20465,30020,11-juil.-07
20466,30056,11-juil.-07
20467,30041,11-juil.-07
20468,30041,11-juil.-07
20469,30020,11-juil.-07
20470,30025,14-mars-08
20471,30025,14-mars-08
20472,30020,11-juil.-07
20473,30011,11-juil.-07
20474,30084,11-juil.-07
20475,30084,11-juil.-07
20476,30084,11-juil.-07
20477,30068,11-juil.-07
20478,30068,11-juil.-07
20479,30068,11-juil.-07
20480,30068,11-juil.-07
20481,30069,11-juil.-07
20482,30069,11-juil.-07
20483,30069,11-juil.-07
20484,30069,11-juil.-07
20485,30101,11-juil.-07
20486,30043,11-juil.-07
20487,30043,11-juil.-07
20488,30121,11-juil.-07
20489,30026,11-juil.-07
20490,30012,29-oct.-09
20491,30044,11-juil.-07
20492,30232,11-juil.-07
20493,30288,11-juil.-07
20494,30133,11-juil.-07
20495,30116,11-juil.-07
20496,30116,11-juil.-07
20497,30116,11-juil.-07
20498,30116,11-juil.-07
20499,30095,11-juil.-07
20500,30368,11-juil.-07
20501,30007,11-juil.-07
20502,30160,11-juil.-07
20503,30160,11-juil.-07
20504,30121,11-juil.-07
20505,30020,11-juil.-07
20506,30020,11-juil.-07
20507,30070,11-juil.-07
20508,30456,11-juil.-07
20509,30220,11-juil.-07
20510,30235,11-juil.-07
20511,30042,11-juil.-07
20512,30231,11-juil.-07
20513,30068,11-juil.-07
20514,30068,11-juil.-07
20515,30068,11-juil.-07
20516,30323,11-juil.-07
20517,30238,11-juil.-07
20518,30238,11-juil.-07
20519,30238,11-juil.-07
20520,30135,11-juil.-07
20521,30240,11-juil.-07
20522,30068,11-juil.-07
20523,30054,11-juil.-07
20524,30054,11-juil.-07
20525,30017,11-juil.-07
20526,30416,11-juil.-07
20527,30031,11-juil.-07
20528,30007,11-juil.-07
20529,30007,11-juil.-07
20530,30007,11-juil.-07
20531,30007,11-juil.-07
20532,30007,11-juil.-07
20533,30007,11-juil.-07
20534,30007,11-juil.-07
20535,30241,06-avr.-10
20536,30242,11-juil.-07
20537,30107,11-juil.-07
20538,30354,06-avr.-10
20539,30243,11-juil.-07
20540,30243,11-juil.-07
20541,30243,11-juil.-07
20542,30243,11-juil.-07
20543,30243,11-juil.-07
20544,30243,11-juil.-07
20545,30243,11-juil.-07
20546,30243,11-juil.-07
20547,30243,11-juil.-07
20549,30390,11-juil.-07
20550,30380,11-juil.-07
20551,30121,11-juil.-07
20552,30178,11-juil.-07
20553,30137,11-juil.-07
20554,30367,11-juil.-07
20555,30245,11-juil.-07
20556,30020,11-juil.-07
20557,30020,11-juil.-07
20558,30069,11-juil.-07
20559,30222,11-juil.-07
20560,30222,11-juil.-07
20561,30247,11-juil.-07
20562,30481,11-juil.-07
20563,30020,11-juil.-07
20564,30121,11-juil.-07
20565,30248,11-juil.-07
20566,30068,11-juil.-07
20567,30020,11-juil.-07
20568,30020,11-juil.-07
20569,30020,11-juil.-07
20570,30020,11-juil.-07
20571,30020,23-nov.-09
20572,30020,11-juil.-07
20573,30263,06-avr.-10
20574,30250,11-juil.-07
20575,30136,11-juil.-07
20576,30087,11-juil.-07
20577,30087,11-juil.-07
20578,30020,11-juil.-07
20579,30166,11-juil.-07
20580,30046,11-juil.-07
20581,30053,11-juil.-07
20582,30053,11-juil.-07
20583,30137,11-juil.-07
20584,30137,11-juil.-07
20585,30137,11-juil.-07
20586,30303,11-juil.-07
20587,30409,11-juil.-07
20588,30411,11-juil.-07
20589,30121,11-juil.-07
20591,30137,11-juil.-07
20592,30137,11-juil.-07
20593,30137,11-juil.-07
20594,30137,11-juil.-07
20595,30137,11-juil.-07
20596,30137,11-juil.-07
20597,30137,11-juil.-07
20598,30137,11-juil.-07
20599,30137,11-juil.-07
20600,30137,11-juil.-07
20601,30274,11-juil.-07
20602,30274,11-juil.-07
20603,30274,11-juil.-07
20604,30274,11-juil.-07
20605,30243,11-juil.-07
20606,30251,11-juil.-07
20607,30108,11-juil.-07
20608,30132,11-juil.-07
20609,30085,11-juil.-07
20610,30498,11-juil.-07
20611,30089,11-juil.-07
20612,30381,11-juil.-07
20613,30253,11-juil.-07
20614,30254,11-juil.-07
20615,30254,11-juil.-07
20616,30020,11-juil.-07
20617,30011,11-juil.-07
20618,30031,11-juil.-07
20619,30222,11-juil.-07
20620,30027,11-juil.-07
20621,30017,11-juil.-07
20623,30136,11-juil.-07
20624,30136,11-juil.-07
20625,30121,11-juil.-07
20626,30095,11-juil.-07
20627,30048,11-juil.-07
20628,30085,11-juil.-07
20629,30101,11-juil.-07
20630,30361,11-juil.-07
20631,30103,11-juil.-07
20632,30301,11-juil.-07
20633,30025,14-mars-08
20635,30009,11-juil.-07
20636,30068,11-juil.-07
20637,30122,11-juil.-07
20638,30303,11-juil.-07
20639,30359,11-juil.-07
20640,30346,12-mars-09
20641,30194,11-juil.-07
20642,30014,11-juil.-07
20643,30449,11-juil.-07
20644,30256,11-juil.-07
20645,30256,11-juil.-07
20646,30049,11-juil.-07
20647,30033,11-juil.-07
20648,30257,11-juil.-07
20649,30257,11-juil.-07
20650,30011,11-juil.-07
20651,30132,11-juil.-07
20652,30434,11-juil.-07
20653,30050,11-juil.-07
20654,30178,11-juil.-07
20655,30178,11-juil.-07
20656,30258,11-juil.-07
20657,30095,11-juil.-07
20658,30095,11-juil.-07
20659,30436,11-juil.-07
20660,30020,11-juil.-07
20661,30011,11-juil.-07
20662,30051,11-juil.-07
20663,30051,11-juil.-07
20664,30121,11-juil.-07
20665,30025,14-mars-08
20666,30025,14-mars-08
20667,30025,14-mars-08
20668,30025,14-mars-08
20669,30260,11-juil.-07
20670,30261,11-juil.-07
20671,30352,11-juil.-07
20672,30020,11-juil.-07
20673,30009,11-juil.-07
20674,30135,11-juil.-07
20675,30400,11-juil.-07
20676,30265,11-juil.-07
20677,30383,12-mars-09
20678,30383,11-juil.-07
20679,30135,11-juil.-07
20680,30135,11-juil.-07
20681,30020,11-juil.-07
20682,30266,11-juil.-07
20683,30243,11-juil.-07
20684,30081,11-juil.-07
20685,30081,11-juil.-07
20686,30081,11-juil.-07
20687,30507,11-juil.-07
20688,30067,11-juil.-07
20689,30067,11-juil.-07
20690,30298,11-juil.-07
20691,30054,11-juil.-07
20692,30424,11-juil.-07
20693,30335,11-juil.-07
20694,30053,11-juil.-07
20695,30053,11-juil.-07
20696,30053,11-juil.-07
20697,30053,11-juil.-07
20698,30053,11-juil.-07
20699,30053,11-juil.-07
20700,30053,11-juil.-07
20701,30053,23-nov.-09
20702,30268,11-juil.-07
20703,30268,11-juil.-07
20704,30268,11-juil.-07
20705,30268,11-juil.-07
20706,30268,11-juil.-07
20707,30236,11-juil.-07
20708,30268,11-juil.-07
20709,30011,11-juil.-07
20710,30054,11-juil.-07
20711,30054,11-juil.-07
20712,30054,11-juil.-07
20713,30054,11-juil.-07
20714,30054,11-juil.-07
20715,30054,11-juil.-07
20716,30167,11-juil.-07
20717,30167,11-juil.-07
20718,30410,11-juil.-07
20719,30410,11-juil.-07
20720,30410,11-juil.-07
20721,30410,11-juil.-07
20722,30410,11-juil.-07
20723,30410,11-juil.-07
20724,30410,11-juil.-07
20725,30410,11-juil.-07
20726,30410,11-juil.-07
